Base Word,Level
flawless,C2
flee,C1
fleet,C1
flesh,C2
flexibility,B2
flexible,B2
flick through sth,C2
flight,A2
float,B1
flood,B1
floor,A1
floppy,C2
flour,B1
flourish,C2
flow,B1
flower,A1
flu,B1
fluctuate,C2
fluency,B2
fluent,B2
fluently,B2
fluid,C2
flute,B1
fly,A1
fly in the face of,C2
focus,C2
focus (sth) on/upon sb/sth,B2
fog,A2
foggy,A2
fold,B1
folder,A2
folk,B1
"folk art/dancing, etc.",B1
follow,A2
"follow a road/path, etc.",A2
follow in sb's footsteps,C2
follow sb's example/lead,C2
follow suit,C2
follow up sth or follow sth up,B2
follower,C2
following,B2
fond,B2
food,A1
fool,B1
foolish,B2
foolishly,B2
foot,A1
football,A1
footballer,A2
footstep,C1
for,A1
for a start,C1
for all,C2
for days,B1
for ever,B1
for example,A1
for fear of sth/doing sth,C2
for fun or for the fun of it,B1
for good,C1
"for hours/days, etc. on end",B2
for instance,B1
for life,C1
for long,C1
for nothing,B2
for once,B2
for one thing,C2
for real,B2
for sale,A2
for sb's benefit,C2
for some time,B2
for sure,B1
for the best,C2
for the moment,B2
for the most part,C1
for the sake of sb/sth; for sb's/sth's sake,B2
for the time being,C1
for years,B1
for/in the foreseeable future,C2
forbid,B2
forbidden,B1
force,B2
forceful,C2
forecast,B1
forehead,B1
foreign,A2
foreigner,B1
foremost,C2
foresee,C1
forest,A2
forever,B1
forgery,C2
forget,A2
forget it,B2
forgive,B1
forgive me,B2
forgiveness,C2
fork,A2
form,A2
"form an opinion/impression, etc.",C2
formal,B2
formally,C1
format,C1
formation,C2
former,B1
formerly,B2
formidable,C2
formula,C1
formulate,C2
forthcoming,B2
fortnight,B1
fortunate,B2
fortunately,B1
fortune,B2
forty,A2
forward,B1
foul,C1
foul language,C1
found,B2
foundation,C1
founder,C2
fountain,B1
four,A1
fourteen,A1
fourth,A2
fox,B2
fraction,C2
fragile,C2
fragrance,C2
fragrant,C2
frail,C2
frame,B1
frame of mind,C2
framework,C2
frankly,B2
frantic,C2
fraud,C2
fraudulent,C2
free,A2
free from/of sth,C1
free speech/freedom of speech,C2
freedom,B2
freedom from sth,C2
freely,B2
freeze,B1
freezer,B1
freezing,B1
frenzy,C2
frequent,B1
frequently,B1
fresh,A2
fresh air,B1
fresh water,C2
friction,C1
Friday,A1
fridge,A2
fried,A2
friend,A1
friendliness,B2
friendly,A2
friendship,B1
fright,C1
frighten,B2
frightened,B1
frightening,B1
fringe,C2
frog,B1
from,A1
from ... to ...,A2
from scratch,C1
from side to side,B2
from start to finish,C1
"from the 1870s/March/6.30 pm, etc. onwards",C2
"from then/that day, etc. on",C1
from time to time,B2
from top to bottom,C2
from/out of nowhere,B2
front,B1
frontier,C2
frost,B2
frown,C2
frown on/upon sth,C2
frozen,B1
fruit,A1
fruitful,C1
frustrated,C1
frustrating,C1
frustration,B2
fry,B1
frying pan,B1
fuel,B1
"fulfil a duty/promise/responsibility, etc.",C1
"fulfil a function/need/role, etc.",C1
"fulfil an ambition/dream/goal, etc.",C1
"fulfil criteria/requirements/qualifications, etc.",C1
fulfilling,C2
fulfilment,C2
full,A2
full stop,B1
full-time,B1
fully,B1
fumes,C1
fun,A1
function,B2
functional,B2
fund,C1
fundamental,C2
fundamentally,C2
funding,C1
funds,C1
funeral,B2
funny,A1
fur,B1
furious,B2
furiously,B2
furnished,C1
furniture,A2
further,A2
furthermore,B2
furthest,B1
fury,C2
fuss,C1
fussy,C2
future,B1
gadget,C1
gain,B1
gain/lose ground,C1
gallery,B1
gamble,C2
gambling,B2
game,A1
gang,B2
gap,B1
garage,A2
garden,A1
gardener,B2
gardening,B2
gardens,C1
garlic,A2
garment,C1
gas,A2
gasp,C2
gate,A2
gather,B2
"gather speed/strength/support, etc.",C1
gathering,C1
gay,B1
gaze,C2
"gaze at/into/out of, etc.",B2
gear,B2
gender,B2
gene,C1
general,B1
generalization,C1
generalize,C1
generally,B1
"generally/personally, etc. speaking",B2
generate,B2
generation,B1
generosity,B2
generous,B1
generously,B2
genetic,C1
genetically modified,C1
genetics,B2
genius,C1
gentle,B1
gentleman,B2
gently,B2
genuine,B2
genuinely,B2
geography,A2
geology,C1
germ,C1
gerund,C1
gesture,C1
get,A1
get (sb) through sth,C1
get (sb) up,A1
get (sb/sth) out,C1
"get a bus/train/taxi, etc.",A1
get a grip (on yourself),C1
get a move on,C2
get across sth or get sth across,B2
get at sth,B2
get away,B2
get away with sth,B2
get back,A2
get back sth or get sth back,B1
get back to sb,C1
"get cancer/flu, etc.",B1
"get caught/killed/told off, etc.",B1
"get cold/ill/late, etc.",B1
get down to sth,B2
"get down/into/off, etc.",B1
"get here/there/home/to work, etc.",A1
get hold of sth/sb,B2
get in,B1
get in touch,B1
get into sth,B2
get married,A2
get moving,C2
get off (sth),A2
get off/start on the wrong foot,C2
get on,B1
get on (sth),A2
get on sb's nerves,B2
get on with sth,B2
get out,B1
get out of hand,C2
get out of sth/doing sth,B2
get over sth/sb,B2
get rid of sb,C1
get rid of sth,B1
get round to sth,B2
get sb down,B2
get sb/sth muddled up,C2
get sb/sth to do sth,B2
get sth off your chest,C2
get sth over (and done) with,C2
"get sth painted/repaired, etc.",B1
get sth straight,C1
get sth wrong,B1
"get the feeling/idea/impression, etc.",B2
get the hang of sth,C2
get the picture,C2
get through sth,B2
get through to sb,C1
get to,B2
get to do sth,B2
get to know sb/sth,B1
get to sb,C2
get together,B1
get underway,C2
get up,B2
get up to sth,C2
get worse,B1
get you nowhere,C2
get your act together,C2
get your own back (on sb),C2
get/become used to sb/sth/doing sth,B1
get/gain the upper hand,C2
get/go to sleep,B1
get/have sth out of the way,C2
get/have your (own) way,C1
get/jump on the bandwagon,C2
get/lay your hands on sth,C2
get/rise to your feet,C2
ghost,B1
giant,B1
gift,A2
gifted,C1
giggle,C2
giraffe,B1
girl,A1
girlfriend,A2
give,A1
give a party,A2
"give a performance/speech, etc.",B2
give and take,C2
give away sth or give sth away,B1
give back sth or give sth back,A2
give birth,B2
give in,B1
give in sth or give sth in,B1
give out sth or give sth out,B1
give rise to sth,C2
give sb a call/ring,A2
give sb a hard time,C2
give sb a ring,A2
give sb the benefit of the doubt,C2
give sb your word,C1
give sth a miss,C1
give up (sth) or give (sth) up,B1
give up (sth/doing sth) or give (sth) up,B2
give up sth or give sth up,B1
give vent to,C2
give way,C1
give way to sth,C2
glad,A2
glamour,C1
glance,B2
"glance at/around/towards, etc.",B1
"glance at/over/through, etc.",B2
glare,C2
glass,A1
glasses,A1
glimpse,C1
global,B2
global warming,B2
globalization,C1
globally,B2
glory,C1
glove,A2
glow,C2
"glow with happiness/pride,etc.",C2
glue,C2
go,A1
go against the grain,C2
go ahead,B2
go away,B1
go back,B1
"go badly/well, etc.",B1
"go bald/blind/grey, etc.",B1
go blank,B2
go by,B2
go crazy,B1
go down,B1
go down with sth,B2
go downhill,C2
go for sth,B1
go from strength to strength,C1
go hand in hand,C1
go in,A2
go into detail/s,B2
go into sth,C1
go off,B1
go off sth/sb,B2
go on,B1
go out,A1
go out of your way to do sth,C2
go over sth,B2
go overboard,C2
go red,B2
"go running/swimming, etc.",A2
go shopping,A1
go so far as to do sth,C2
go through sth,B2
go through the motions,C2
go through the roof,C2
go through with sth,C2
go to the toilet,A2
go too far,C2
go up,B1
go with the flow,C2
go without (sth),C2
go wrong,B1
go/fall to pieces,C2
go/run deep,C2
"go/walk, etc. up to sb/sth",B1
goal,A2
goalkeeper,B1
goat,B1
God,A2
gold,A2
golden,A2
golf,A2
good,A1
good afternoon,A1
good evening,A1
good for you,A1
Good for you!,B2
good morning,A1
good night,A1
good value (for money),B1
good/bad press,C1
goodbye,A1
good-looking,A2
goodness,C2
goods,B1
Google,B2
gorgeous,B1
gossip,B2
govern,B2
government,B1
grab,B1
grab sb's attention,C1
grab the opportunity/chance,C1
grace,C1
graceful,C1
grade,B1
gradual,B2
gradually,B2
graduate,B2
grain,C2
gram,A2
grammar,A2
grammatical,C2
grand,C1
grandchild,A2
granddad,A2
granddaughter,A2
grandfather,A2
grandma,A2
grandmother,A2
grandpa,A2
grandparent,A2
grandson,A2
granny,A2
grant,B1
grape,A2
graph,B2
graphics,B1
grasp,C1
grasp at sth,C2
grasp the nettle,C2
grass,A1
grateful,B1
grave,B2
great,A1
"great big/long, etc.",B2
greatly,B2
greatness,B2
greed,C1
greedy,B2
green,A1
greet,B1
greeting,B1
grey,A1
grief,B2
grill,B1
grilled,A2
grim,C2
grin,C2
grin and bear it,C2
grip,B2
gripping,C1
grit your teeth,C2
groan,C2
groom,B1
gross,C1
ground,B1
grounds,C2
group,A1
grow,A2
"grow tired/old/calm, etc.",B2
grow up,A2
growing,B2
grown-up,B2
growth,B2
grumpy,C1
guarantee,B2
guard,B1
guess,A2
Guess what?,A2
guest,A2
guidance,B2
guide,A2
guidebook,A2
guideline,C1
guilt,B2
guilty,B1
guitar,A1
guitarist,B1
gulf,C2
gum,B2
gun,B1
guts,B2
guy,A2
guys,B1
gym,B1
gymnastic,B2
gymnastics,B1
habit,B1
habitat,C1
hail,C2
hail sb/sth as sth,C2
hair,A1
haircut,B1
hairdresser,B1
hairdryer,B1
half,A2
"half past one/two/three, etc.",A1
half-price,A2
hall,A2
ham,A2
hammer,B2
hand,A1
hand in hand,B2
hand in sth or hand sth in,B1
hand out sth or hand sth out,B1
hand over sb/sth or hand sb/sth over,B2
hand sth down or hand down sth,C2
hand/give in your notice,C2
handbag,A2
handball,B1
hand-held,B1
handkerchief,B1
handle,B1
handout,B2
handsome,B1
handwriting,B1
handy,C2
hang,B1
hang about/around (swh),B1
hang on,B1
hang out,B1
hang up,B1
hang up sth or hang sth up,B1
happen,A2
happen to do sth,C1
happily,B1
happiness,B1
happy,A1
"Happy Birthday/New Year, etc.",A1
happy to do sth,A2
harassment,C1
harbour,B1
hard,A1
hard drive,B2
hardly,B1
hardly ever,B1
hardship,C1
hardware,B1
hard-working,B2
harm,B2
harmful,B2
harmless,B2
harmony,B2
harsh,C1
harshly,C2
harvest,B2
hat,A1
hate,A2
hatred,C1
haul,C2
haunt,B2
have,A1
have (got) a temperature,A2
have (got) on sth or have (got) sth on,B1
have (got) to do sth,A2
have (got) to do/be sth,C2
have a chip on your shoulder,C2
have a high/low opinion of sb/sth,C1
"have a rest/shower/walk, etc.",A2
have a soft spot for sb/sth,C2
have a weakness for sth/sb,C2
have a word (with sb),B2
have a word with sb,B2
have a/no right to do sth,C1
have an ear for sth,C1
have an eye for sth,B2
have been meaning to do sth,B1
"have fun/a nice time/a problem, etc.",A2
have had enough,C1
have heard of sb/sth,B2
have it in for sb,C2
have little/no effect,C1
have no doubt,B1
have no hesitation in doing sth,C1
have no idea,B1
have no option (but to do sth),C1
have no time for sb/sth,C2
have nothing to do with sb,B2
have nothing to do with sb/sth,B2
have sb do sth,C2
"have sb over/round/to stay, etc.",B2
have sth against sb/sth,C1
"have sth cleaned/cut/repaired, etc.",B1
have sth in common,B1
have sth on your mind,C2
"have sth stolen/taken, etc.",B1
have sth up your sleeve,C2
have the edge on/over sb/sth,C2
have your hands full,C2
have/carry sth on you,C2
have/has been to,A2
have/keep an open mind,B2
have/keep your finger on the pulse,C2
have/play a part in sth,B2
hazard,C1
hazardous,C2
he,A1
head,A1
"head back/down/towards, etc.",B2
head off,C2
headache,A2
heading,C1
headline,B1
headquarters,B2
headteacher,A2
heal,B2
health,A2
health care,C1
healthy,A2
heap,C2
heaps of sth,C2
hear,A1
hear from sb,B1
heart,A2
heart attack,B1
heat,B1
heat up sth or heat sth up,B2
heater,B1
heating,A2
heaven,B2
heavenly,C1
heavily,B1
heavy,A2
hectic,C1
hedge,B2
heel,B1
height,B1
heir,C2
helicopter,A2
hell,B2
hello,A1
helmet,B2
help,A1
help out (sb) or help (sb) out,B2
help yourself (to sth),B1
Help!,A2
helper,B2
helpful,B1
helpless,C1
hence,C1
her,A1
herb,B1
here,A1
here and there,B2
"here you are/here it is, etc.",A2
heritage,C2
hero,B1
heroic,C1
hers,A2
herself,A2
hesitate,B2
hesitation,C2
hey,A2
hi,A1
hidden,B1
hide,B1
hierarchical,C2
hierarchy,C2
high,A2
high in sth,C1
highlight,B2
highly,B2
high-profile,C2
high-tech,B2
hilarious,C1
hill,A2
him,A1
himself,A2
hinder,C2
hint,B2
hip,B2
hip-hop,A2
hire,B1
his,A1
historian,C1
historic,B1
historical,B1
historically,C1
history,A2
hit,A2
hit it off,B2
hit the roof,C2
hit/strike/touch a (raw) nerve,C2
hitchhike,B1
hi-tech,B2
hobby,A2
hockey,A2
hold,A2
hold a conversation,C1
hold an opinion/belief/view,C1
hold back sth or hold sth back,C1
hold down a job,C2
hold off (sth/doing sth),C2
hold on,B1
hold onto sth/sb,C2
hold out hope,C2
hold sb/sth back,C1
hold sb's attention/interest,C1
hold sth against sb,C2
hold up sb/sth or hold sb/sth up,B1
hold your breath,B2
hold your own,C2
hold/keep/take sb prisoner,C2
hole,B1
holiday,A1
hollow,C2
holy,C1
home,A1
homeless,C1
homelessness,C2
homework,A1
honest,B1
honestly,B1
honesty,B2
honey,A2
honeymoon,B1
honour,B2
honoured,C1
hood,B2
hook,B2
hop,C1
hope,A2
hope to do sth,B1
hopeful,B1
hopefully,B1
hopeless,B1
hopelessly,C2
horizon,C2
horizontal,C1
horn,B2
horrible,A2
horrified,C2
horrifying,C2
horror,B2
horse,A1
hospitable,C1
hospital,A1
hospitality,C1
host,B2
hostage,C2
hostel,B1
hostile,C1
hostility,C2
hot,A1
hot chocolate,A2
hotel,A1
hour,A1
hourly,B2
hours,B1
house,A1
household,B2
housewife,A2
housework,B1
housing,C1
how,A1
How about ...?,B1
How about...?,A2
How are you?,A1
how come,C1
"How dare she/you, etc.",C1
How do you do?,A2
how far,C1
how many,A1
"How strange/stupid/weird, etc. is that?",C2
How/What about ...?,A2
"how/what/why, etc. on earth?",C1
however,A2
"however cold/difficult/slowly, etc.",B2
hug,B1
huge,B1
hum,C2
human,B1
human rights,B2
humanitarian,C2
humanity,C1
humble,C2
humid,B1
humiliated,C2
humiliating,C2
humility,C2
humorous,C1
humour,B2
hundred,A2
hundreds,B2
hunger,B1
hungry,A1
hunt,B1
hunting,B2
hurry,A2
hurry up,B1
hurry up sb/sth or hurry sb/sth up,B2
hurt,A2
husband,A1
hut,B1
hygiene,C1
hygienic,C2
hyphen,B2
hypocrisy,C2
hypocritical,C2
hypothesis,C2
hysterical,C1
I,A1
"I am Spanish/a teacher, etc.",A1
I bet (you),B1
I can't tell you how ...,B1
I dare say,C2
"I don't blame him/them/you, etc.",C2
I don't mind,A2
I dread to think,C2
I expect,B2
I fail to see/understand,C2
I forget,C2
I guess,B1
I guess so/not,B2
I know,B1
I mean,A2
I only hope (that) ... /I only wish ... (that),B2
I suppose,A2
I suppose (so),B1
I take it (that),C2
I told you so,C2
I trust (that),C1
"I/he, etc. couldn't care less",C1
I/We appreciate...,B2
I/we shall...,B1
I/we understand (that)...,C1
"I/you/he, etc. had better do sth",A2
"I/you/we, etc. will just have to do sth",C1
ice,A2
ice cream,A1
ice hockey,B1
ice skating,B1
iceberg,C1
icily,C2
icon,B2
icy,B1
ID,A2
ID card,A2
idea,A2
ideal,B2
idealistic,C1
ideally,B2
identical,B2
identification,A2
identify,B2
identify with sb/sth,B2
identity,B2
identity card,B1
idiom,B2
idiot,B2
idle,C2
idol,C1
if,A2
if I were you,B1
if not,A2
if only,B1
if so,B2
if you ask me,C2
if you like,A2
if/when push comes to shove,C2
ignorance,C2
ignorant,C2
ignore,B2
ill,A2
ill at ease,C2
I'll/we'll see,C1
illegal,B2
illegally,B2
illiterate,C2
illness,B1
illusion,C2
illustrate,B2
illustration,C1
I'm afraid...,A2
image,B2
imaginary,C1
imagination,B1
imaginative,C1
imagine,B1
imitate,C1
imitation,C2
immature,C2
immediate,B2
immediately,A2
immense,C1
immensely,C1
immigrant,B2
immigration,B1
imminent,C2
immoral,B2
immortal,C2
immune,C2
immune system,C2
impact,B2
impatience,C2
impatient,B2
impatiently,B2
imperative,B2
imperfect,C1
impersonal,C1
implement,B2
implementation,C2
implication,C1
implicit,C2
imply,C2
impolite,B2
import,B2
importance,B1
important,A1
importantly,B2
impose,C1
impossibility,C2
impossible,B1
impress,B2
impressed,B2
impression,B2
impressive,B2
imprison,C1
imprisonment,C2
improve,A2
improved,B2
improvement,B1
impulse,C2
impulsive,C2
in,A1
in ... terms/in terms of sth,B2
in a big way,C2
"in a day's/two months', etc. time",B1
in a flash,C2
in a nutshell,C1
in a row,B2
in a rut,C2
in a sense,C1
in a way; in some/many ways,B2
in accordance with sth,C1
in actual fact,B2
in addition (to),B1
in advance,B1
in aid of sb/sth,C1
in all,B2
in all honesty,C2
in all likelihood,C2
in all probability,C2
in anticipation (of),C2
in any case,B2
in any event,C1
in association with,C1
in attendance,C2
in brief,B2
in bulk,C1
in case of sth,B1
in cold blood,C2
in common with sb/sth,C1
In conclusion,B2
in confidence,C2
in conjunction with sth/sb,C2
in connection with sth,B2
in demand,C1
in depth,B2
in detail,B1
in due course,B2
in effect,C2
in essence,C2
in fact,B1
in favour of sb/sth,C2
"in first/second/third, etc. place",B1
in front,B1
in front of sb/sth,A2
in front of sth/sb,A2
in full,B1
in future,B1
in general,B1
"in good/bad, etc. shape",B2
"in good/high/low, etc. spirits",B2
in hand,C2
in honour of sb/sth,B2
in isolation,C2
in its infancy,C2
"in its/his/their, etc. own right",C2
in itself,B2
in love,B1
in memory of sb,C2
in miniature,C2
in moderation,C1
in my humble opinion,C2
in no time,C1
in no uncertain terms,C2
in no way/not in any way,C1
in order (for sb/sth) to do sth,B1
in other words,B2
in part,C2
in particular,B1
in person,B2
in perspective,C2
in place,C2
in place of sth,B2
in practice,B2
in principle,C2
in private,B2
in progress,B2
in proportion to,C2
in public,B2
in relation to sth,B2
in respect of sth,C1
in response to,B2
in retrospect,C2
in return,B2
in reverse,C1
in safe hands,C1
in sb's direction,B2
in sb's eyes,B2
in sb's favour,C1
in sb's words,C2
in season,B2
in secret,B2
in short,C1
in spite of sth,B1
in stock,B2
in stock/out of stock,B2
in store,C1
in tears,B1
in that,C2
in that case,B2
in the background,C2
in the blink of an eye,C2
in the clear,C2
in the dark,C2
in the end,B1
in the event of sth,C1
in the face of sth,C2
in the first place,B2
in the form of sth,C1
in the hope of/that,C1
in the interest(s) of sth,C2
in the light of sth,C1
in the long run,B2
in the long term,B2
in the meantime,B2
in the middle of nowhere,B2
in the morning,A1
in the name of sth,C2
in the near future,B2
in the process,C2
in the red,C2
in the region of sth,C1
in the same way,C1
in the short term,B2
in the vicinity (of sth),C2
in theory,B2
in this respect/in many respects,B2
in those days,B2
in time,B1
in tune,C1
in turn,B2
in two/half,B2
in vain,C1
in view of sth,B2
in writing,B2
in your heart,C1
in your mind's eye,C2
in/into force,C2
in/out of print,C2
in/with regard to sth,B2
inability,C1
inaccuracy,C1
inaccurate,B2
inadequate,C1
inappropriate,C1
inappropriately,C1
incapable of sth/doing sth,C1
incentive,C2
inch,B1
incident,B2
incidentally,C1
inclination,C2
inclined to do sth,C2
include,A2
including,A2
inclusion,C1
inclusive,C1
income,B2
inconceivable,C2
inconsiderate,C2
inconvenience,C1
inconvenient,B2
incorporate,C2
incorrect,B1
increase,B1
increasingly,B2
incredible,B1
incredibly,B2
incur,C2
incurable,C2
indeed,B1
indefinite article,B1
indefinitely,C2
independence,B2
independent,B1
independently,B2
index,C1
indicate,B2
indication,C1
indicator,C2
indifference,C2
indifferent,C2
indirect,C1
indirectly,C1
indispensable,C2
indisputable,C2
individual,B1
individuality,C2
individually,C1
indoor,A2
indoors,B1
indulge,C2
industrial,B2
industrialization,C1
industrialized,C1
industrious,C2
industry,B1
inedible,C1
inefficient,C1
inequality,C2
inevitable,C1
inevitably,C1
inexpensive,B1
inexperienced,B2
inexplicable,C2
infancy,C2
infant,C2
infect,C1
infection,B2
infectious,C2
infer,C2
inferior,C1
inferiority,C2
infinite,C2
infinitely,C2
infinitive,B1
inflation,B2
influence,B2
influential,C1
influx,C2
inform,B1
informal,B2
informally,C1
information,A2
informative,C1
infrastructure,C1
ingredient,B1
inhabit,C2
inhabitant,B2
inherent,C2
inherit,C2
inheritance,C2
inhibition,C2
inhuman,C2
initial,B1
initially,B2
initiate,C2
initiative,C1
injection,C2
injure,B1
injured,B2
injury,B2
injustice,C1
ink,B1
innate,C2
inner,B2
innocence,C1
innocent,B2
innocently,B2
innovation,C1
innovative,C1
innumerable,C2
input,B2
inquire,B2
inquiry,B1
insane,C1
insect,A2
insecure,C1
insecurity,C2
insensitive,C1
inseparable,C2
insert,C1
inside,A1
"inside information/knowledge, etc.",C2
inside out,B2
insight,C1
insignificant,C1
insist,B1
insist on sth,C1
insofar as,C2
insomnia,C2
inspect,C1
inspection,C1
inspector,B2
inspiration,B2
inspire,B2
install,B1
installation,C1
instance,C1
instant,B2
instantly,B2
instead,A2
instead of,B1
instinct,C2
institute,B2
institution,B2
instruct,C1
instruction,C2
instructions,A2
instructor,B1
instrument,A2
insufficient,C1
insult,B2
insurance,B2
intact,C2
integral,C1
integrate,C1
integration,C1
integrity,C2
intellect,C2
intellectual,B2
intellectually,C2
intelligence,B2
intelligent,B1
intend,B1
intense,C1
intensely,C2
intensify,C2
intensity,C2
intensive,B2
intensively,C1
intent,C2
intention,B2
interact,B2
interaction,C1
interactive,B2
interest,B1
interested,A2
interesting,A1
interestingly,C1
interfere,B2
interference,C1
interim,C2
interior,B2
intermediate,B1
internal,B2
internally,C1
international,A2
internationally,B1
interpret,B2
interpretation,C2
interrupt,B1
interruption,B2
interval,B1
intervene,C2
intervention,C2
interview,B1
intimate,C2
into,A1
into the bargain,C2
intolerable,C2
intolerance,C2
intolerant,C2
intransitive,B2
intriguing,C2
intrinsic,C2
introduce,B1
introduction,B2
introvert,C2
intrude,C2
intruder,C2
intrusion,C2
intuition,C2
invade,B2
invade sb's privacy,C2
invaluable,C1
invariably,C2
invasion,B2
invent,B1
invention,B1
inventor,B2
inverted commas,B2
invest,B2
investigate,B2
investigation,B2
investigator,B2
investment,B2
investor,B2
invisible,B2
invitation,A2
invite,A1
involve,B1
involvement,B2
iron,B1
ironic,C2
ironically,C2
ironing,B1
irony,C2
irrational,C2
irregular,B1
irresistible,C2
irrespective of sth,C2
irresponsible,B2
irreversible,C2
irritable,C2
irritate,C1
irritated,B2
irritating,B2
irritation,C2
island,A2
isolated,C1
isolation,C1
issue,B1
it,A1
it appears (that),B2
it follows that,C2
it goes without saying,B2
it looks like/as if,B1
it rains/it is raining,A1
It seems...,B2
it stands to reason,C2
it would appear (that),C1
it/that depends,B1
itch,B2
item,B1
itinerary,C1
its,A1
it's a good job,C2
it's a good thing,B2
it's just as well,B2
it's only a matter of time,C1
it's sb/sth,B2
it's time,B1
itself,A2
jacket,A1
jail,B1
jam,A2
January,A1
jar,B1
jargon,C1
jaw,B2
jazz,A2
jealous,B1
jealously,B2
jealousy,C1
jeans,A1
jet,B1
jewel,B2
jewellery,A2
job,A1
jog,B1
jogging,B1
join,A2
join forces,C2
join in (sth),B1
joint,B2
jointly,C1
joke,B1
journal,C1
journalism,B2
journalist,B1
journey,A2
joy,B2
judge,B1
judging by/from,B2
judgment,B2
jug,B1
juggle,C2
juice,A1
juicy,B1
July,A1
jump,A2
jump at sth,C2
"jump in/into/up, etc.",B1
jump to conclusions,C2
jumper,A2
June,A1
jungle,B1
junior,B2
junk,C1
junk food,B2
junk mail,C1
jury,B2
just,A2
just about,B1
just as,B2
"just as bad/good/tall/clever, etc. (as sb/sth)",B1
"just before/over/under, etc.",B1
just now,A2
justice,B2
justifiable,C2
justification,C2
justified,C1
justify,B2
justify yourself,B2
juvenile,C1
kangaroo,B1
keen,B1
keep,A2
keep (sb/sth) away,B2
keep (sb/sth) back,B2
keep (sb/sth) off sth,B1
keep (sb/sth) out,B1
keep (sth) quiet,C2
keep (sth) up,C2
keep a cool head,C2
keep a low profile,C1
keep a straight face,C2
keep a/sth secret,B1
keep a/your promise,B2
keep an eye out for sb/sth,C1
keep at sth,C2
keep body and soul together,C2
keep doing sth,B1
keep down sth or keep sth down,B2
keep in shape,B2
keep in touch,B1
"keep notes/records, etc.",B2
keep on doing sth,B1
keep pace with sb/sth,C1
keep sb amused,B2
keep sb company,B2
keep sb going,C1
keep sb in,B1
keep sb on their toes,C2
keep sb posted,C1
keep sb waiting,B1
keep sb/sth from doing sth,C1
keep sb/sth in mind,B2
keep sth back,C2
keep sth from sb,C2
"keep sth in/on, etc.",A2
keep sth off (sb/sth),B2
keep sth to yourself,C2
keep to sth,B2
keep track,C1
keep up (with sb/sth),B2
keep up (with sth),C2
keep up sth or keep sth up,B1
keep your cool,C1
keep your eyes open (for sb/sth),C2
keep your eyes peeled (for sb/sth),C2
keep your fingers crossed/ cross your fingers,C2
keep your head above water,C2
keep your mouth shut,B2
keep your temper,C2
keep your word,C1
keep your/an eye on sb/sth,B2
keep/break a promise,B2
keep/hold sth at bay,C2
keeper,B1
kettle,B1
key,A1
key in sth or key sth in,B2
keyboard,A2
kick,A1
kick (sth) off,C2
kick in,C1
kick off,C1
kick sb out,C1
kick yourself,C2
kid,A2
kidney,C2
kill,A2
kill time,B2
killer,B1
killing,B1
kilo,A2
kilogram,A2
kilometre,A2
kind,A1
kind of,B2
kindly,B1
kindness,B2
king,A2
kingdom,B2
kiss,A2
kit,A2
kitchen,A1
kite,A2
kitten,B1
knee,B1
kneel,B2
knickers,B1
knife,A1
knit,B1
knob,C1
knock,B1
knock sb down,B1
knock sb out,B2
knock sth down,B2
knock sth/sb over,B2
knot,C2
know,A1
know best,C2
know better,C2
know better (than to do sth),B2
know of sth/sb,B2
know sth inside out,C1
know what you are talking about,C1
know your stuff,C2
know/say for certain,C1
knowingly,C2
knowledge,B1
knowledgeable,C1
known,B2
knuckle,C2
lab,B1
label,B1
laboratory,B1
labour,C1
lack,B2
lack of sth,B1
lad,C2
ladder,B1
lady,B1
laid-back,C2
lake,A2
lamb,B1
lamp,A2
land,B1
"land in/on, etc.",C1
landing,B2
landlady,B2
landlord,B2
landmark,C1
landscape,B1
lane,B2
language,A1
lap,B2
laptop,A2
large,A2
largely,B2
laser,B2
last,A2
last but not least,B2
last night,A1
"last week/year/Monday, etc.",A1
lastly,B2
last-minute,B2
late,A1
lately,B1
later,A2
later on,B1
latest,A2
latter,B2
laugh,A2
laugh at sb/sth,B1
"laugh/shout/scream, etc. your head off",C2
laughter,B2
launch,B2
laundry,B2
lavish,C2
law,B1
law and order,C2
lawn,C1
lawyer,B1
lay eggs,B2
lay sb off or lay off sb,C1
"lay sth down/in/on, etc.",C1
lay sth out or lay out sth,C1
lay the table,B1
layer,B2
layout,C1
laziness,B2
lazy,A2
lead,B1
"lead a busy/normal/quiet, etc. life",B2
"lead into/to/towards, etc.",B2
lead sb to a conclusion,C2
lead sb to do sth,C2
lead to sth,B2
lead up to sth,C2
leader,B1
leadership,C1
leading,B2
leaf,B1
leaflet,B2
league,B1
leak,B2
lean (sth) against/on sth,B2
"lean (sth) back/forward/out, etc.",B2
lean on sb,C2
leap,C2
leap at sth,C2
"leap into/out of/up, etc.",C2
learn,A1
learn your lesson,B2
learn/know the ropes,C2
learner,B2
learning,B2
least,B1
leather,A2
leave,A1
leave behind sb/sth or leave sb/sth behind,B1
leave no stone unturned,C2
leave out sb/sth or leave sb/sth out,B2
leave sb alone,B2
leave sb doing sth,C1
leave someone to their own devices,C2
leave/make your mark,C2
lecture,B1
lecturer,B2
leek,B2
left,A2
left-hand,A2
left-wing,C1
leg,A1
legacy,C2
legal,B2
legal action,C1
legally,B2
legend,B2
legendary,C1
legislation,C2
legitimate,C2
leisure,B1
lemon,A2
lemonade,A2
lend,A2
lend itself to sth,C2
length,B1
lengthen,C1
lengthy,C1
